,price,address,locality,beds,area,half bath,full bath
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,,4
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",,3
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",1,3
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",,3
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",,2
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",,3
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",,2
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",,2
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",,2
